id,type,price,condition,manufacturer,model,region,location,year,length_width,draft,displacement,material,steering,keel_type,ballast,no_persons,headroom,no_cabins,no_beds,propulsion,engine_perf,fuel_type,fuel_cap,engine_hours,mainsail,genoa,spinnaker,ad_date,no_views,no_favs
289862,Sailing Yacht,"EUR 80.000,-",good condition,Najad,Aphrodite 36,Italy » Sicilia » ,Lipari- prossimamente a Procida,1988,10.95 m x 3.50 m,1.00 - 1.40 m,9'000 kg,GRP,Wheel control,Long Keel,NA,7 Persons,NA,2 Cabins,7 beds,Saildrive,1 x 35 HP / 26 kW,Diesel,150 l,2'000 h,25 m²,25 m²,35 m²,10.12.2021,1'148,27
480117,Sailing Yacht,"EUR 250.000,-",As new,Dehler,38,Germany » Ostsee » ,Stralsund,2016,11.64 m x 3.75 m,2.03 m,7'500 kg,GRP,Dual Wheel Control,Bulb Keel,NA,8 Persons,NA,3 Cabins,8 beds,Saildrive,1 x 38 HP / 28 kW,Diesel,160 l,536 h,80 m² (Battened Mainsail),NA,NA,12.12.2021,743,33
483884,Cruising Yacht,"EUR 296.500,-",good condition,van de Stadt,Tasman 48,Spain » Costa del Sol » ,Almerimar,1996,14.97 m x 4.49 m,2.40 m,20'170 kg,Steel,Dual Wheel Control,Long Keel,5'700 kg,8 Persons,200 cm,3 Cabins,8 beds,Inboard Direct-Drive,1 x 160 HP / 118 kW,Diesel,1'120 l,1'958 h,90 m² (Battened Mainsail),60 m² (Roller Furling),180 m²,15.10.2021,919,29
489319,Ketch,"EUR 17.000,-",to be done up,NA,Stalen S-spant kits getuigd,Belgium » ,Staat op het droge,1965,12.25 m x 3.30 m,1.80 - 1.80 m,14'000 kg,Steel,Wheel control,Long Keel,NA,NA,200 cm,1 Cabin,6 beds,NA,1 x 58 HP / 43 kW,Diesel,380 l,150 h,NA,NA,NA,24.12.2021,100,NA
489311,Sailing Yacht,"EUR 130.000,-",NA,Jeanneau,Sun Odyssey 43,Netherlands » ,Dalmatia(HR),2003,13.21 m x 4.19 m,0.18 m,NA,GRP,NA,NA,NA,NA,200 cm,NA,8 beds,Inboard Direct-Drive,NA,Diesel,NA,NA,NA,NA,NA,262,5,NA
489307,Sailing Yacht,"EUR 79.000,-",NA,NA,MAT Yachts 1010,Turkey » ,onbekend,2011,10.15 m x 3.32 m,2.10 m,NA,GRP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,NA,NA
489307,Sailing Yacht,"EUR 79.000,-",NA,NA,MAT Yachts 1010,Turkey » ,onbekend,2011,10.15 m x 3.32 m,2.10 m,NA,GRP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,NA,NA
489306,Regatta Boat,"EUR 217.750,-",NA,Jeanneau,Sun Fast 3300,Netherlands » ,In verkoophaven,2019,9.99 m x 3.40 m,1.95 m,NA,GRP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164,NA,NA
489303,Catamaran,NA,NA,Catana,53,Spain » ,Mer Méditerranée,2019,17.00 m x 8.65 m,3.60 m,14'000 kg,NA,NA,NA,NA,NA,NA,4 Cabins,4 beds,NA,2 x 160 HP / 118 kW,NA,800 l,NA,NA,NA,NA,152,1,NA
489302,Sailing Yacht,"EUR 154.000,-",NA,Hanse,470e,Greece » ,Kos,2010,14.19 m x 4.46 m,2.60 m,12'350 kg,NA,NA,NA,NA,NA,NA,3 Cabins,8 beds,NA,NA,Diesel,250 l,8'000 h,NA,NA,NA,235,6,NA
489271,Center Cockpit,"EUR 119.500,-",good condition,Koopmans,42 Alu Centerboard,Greece » ,Chios,1986,12.80 m x 3.76 m,1.15 - 2.30 m,13'000 kg,Aluminium,Wheel control,Keel Sword,6'000 kg,6 Persons,196 cm,2 Cabins,6 beds,Inboard Direct-Drive,1 x 62 HP / 46 kW,Diesel,550 l,NA,40 m² (Mast Furling),50 m² (Roller Furling),NA,23.12.2021,906,29
484332,Classic Sailing Yacht,"EUR 68.000,-",good condition,Jeanneau,42.2 sun odyssey,Italy » Toscana » ,porto azzurro,1999,12.80 m,NA,8'400 kg,GRP,Wheel control,NA,NA,8 Persons,NA,3 Cabins,8 beds,Inboard Direct-Drive,1 x 65 HP / 48 kW,Diesel,175 l,2'500 h,NA,NA,NA,23.12.2021,582,162
485784,Regatta Boat,"EUR 11.500,-",good condition,NA,20qm Rennkielboot,Germany » Starnberger See » ,Tutzing,1924,9.00 m x 1.60 m,1.20 - 1.60 m,650 kg,Wood,Tiller Steering,Lifting Keel,220 kg,NA,NA,NA,NA,NA,NA,NA,NA,NA,20 m² (Battened Mainsail),15 m² (Roller Furling),NA,23.12.2021,183,12
489266,Sailing Yacht,"CHF 99.900,-",good condition,Bavaria,Cruiser 40,Switzerland » Vierwaldstättersee » ,Luzern,2011,11.95 m x 3.95 m,1.75 m,9'000 kg,GRP,Dual Wheel Control,Fin Keel,NA,8 Persons,NA,3 Cabins,6 beds,Saildrive,1 x 28 HP / 21 kW,Diesel,NA,280 h,Battened Mainsail,Roller Furling,NA,3397,933,19
489264,Keelboat,"EUR 28.600,-",NA,Janmor,20,Germany » ,Niedersachsen,2015,6.00 m x 2.20 m,0.70 m,1 kg,GRP,NA,NA,NA,NA,NA,1 Cabin,2 beds,NA,1 x 12 HP / 9 kW,Diesel,40 l,230 h,NA,NA,NA,340,7,NA
489262,Sailing Yacht,"EUR 276.500,-",NA,NA,Oyster Marine OYSTER 45,United Kingdom » ,Vereinigtes Königreich Großbritannien,2000,13.80 m,1.98 m,15'873 kg,NA,NA,NA,NA,NA,NA,3 Cabins,1 bed,NA,1 x 59 HP / 43 kW,Diesel,NA,NA,NA,NA,NA,647571,488,10
489258,Catamaran,"EUR 455.000,-",NA,Lagoon,500,Montenegro » ,onbekend,2008,15.58 m x 8.53 m,1.40 m,NA,GRP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,5,NA
489246,Catamaran,"EUR 423.407,-",NA,Excess,EXCESS 12,Spain » Mallorca » ,Palma de Mallorca,2022,11.74 m x 6.73 m,1.35 m,NA,GRP,NA,NA,NA,NA,NA,4 Cabins,NA,Inboard Direct-Drive,2 x 45 HP / 33 kW,Diesel,400 l,NA,50 m²,NA,NA,Admin 00582,272,2
